ETH_ID,PPL_ID,FLG_ID,nom_ethnie,fichier_ETH_canonique,priorite
ETH_AFEMAI_OWAN,PPL_AFEMAI,FLG_BENOUECONGO,Owan,dataset/source/afrik/ethnies/PPL_AFEMAI/ETH_AFEMAI_OWAN.txt,normal
ETH_AFEMAI_AKOKO_EDO,PPL_AFEMAI,FLG_BENOUECONGO,Akoko-Edo,dataset/source/afrik/ethnies/PPL_AFEMAI/ETH_AFEMAI_AKOKO_EDO.txt,normal
ETH_AGAW_AWI,PPL_AGAW,FLG_COUCHITIQUE,Awi,dataset/source/afrik/ethnies/PPL_AGAW/ETH_AGAW_AWI.txt,normal
ETH_AGAW_QIMANT_QEMANT,PPL_AGAW,FLG_COUCHITIQUE,Qimant (Qemant),dataset/source/afrik/ethnies/PPL_AGAW/ETH_AGAW_QIMANT_QEMANT.txt,normal
ETH_AGAW_XAMIR,PPL_AGAW,FLG_COUCHITIQUE,Xamir,dataset/source/afrik/ethnies/PPL_AGAW/ETH_AGAW_XAMIR.txt,normal
ETH_AIT_ATTA_AIT_YAHYA,PPL_AIT_ATTA,FLG_BERBERE,Aït Yahya,dataset/source/afrik/ethnies/PPL_AIT_ATTA/ETH_AIT_ATTA_AIT_YAHYA.txt,normal
ETH_AIT_ATTA_AIT_OUAZIK,PPL_AIT_ATTA,FLG_BERBERE,Aït Ouazik,dataset/source/afrik/ethnies/PPL_AIT_ATTA/ETH_AIT_ATTA_AIT_OUAZIK.txt,normal
ETH_AIT_ATTA_AIT_OUHMAN,PPL_AIT_ATTA,FLG_BERBERE,Aït Ouhman,dataset/source/afrik/ethnies/PPL_AIT_ATTA/ETH_AIT_ATTA_AIT_OUHMAN.txt,normal
ETH_AIT_HDZ_AIT_YAFELMAN,PPL_AIT_HDZ,FLG_BERBERE,Aït Yafelman,dataset/source/afrik/ethnies/PPL_AIT_HDZ/ETH_AIT_HDZ_AIT_YAFELMAN.txt,normal
ETH_AIT_HDZ_AIT_OUIRRA,PPL_AIT_HDZ,FLG_BERBERE,Aït Ouirra,dataset/source/afrik/ethnies/PPL_AIT_HDZ/ETH_AIT_HDZ_AIT_OUIRRA.txt,normal
ETH_AIT_HDZ_AIT_SUKHMAN,PPL_AIT_HDZ,FLG_BERBERE,Aït Sukhman,dataset/source/afrik/ethnies/PPL_AIT_HDZ/ETH_AIT_HDZ_AIT_SUKHMAN.txt,normal
ETH_AIT_HDZ_DIVERS_GROUPES_MONTAGNARDS_AMAZIGHS,PPL_AIT_HDZ,FLG_BERBERE,Divers groupes montagnards amazighs,dataset/source/afrik/ethnies/PPL_AIT_HDZ/ETH_AIT_HDZ_DIVERS_GROUPES_MONTAGNARDS_AMAZIGHS.txt,normal
ETH_AKAN_ASHANTI,PPL_AKAN,FLG_NIGERCONGO,Ashanti,dataset/source/afrik/ethnies/PPL_AKAN/ETH_AKAN_ASHANTI.txt,normal
ETH_AKAN_FANTI,PPL_AKAN,FLG_NIGERCONGO,Fanti,dataset/source/afrik/ethnies/PPL_AKAN/ETH_AKAN_FANTI.txt,normal
ETH_AKAN_AKUAPEM,PPL_AKAN,FLG_NIGERCONGO,Akuapem,dataset/source/afrik/ethnies/PPL_AKAN/ETH_AKAN_AKUAPEM.txt,normal
ETH_AKAN_AKYEM,PPL_AKAN,FLG_NIGERCONGO,Akyem,dataset/source/afrik/ethnies/PPL_AKAN/ETH_AKAN_AKYEM.txt,normal
ETH_AKAN_BRONG,PPL_AKAN,FLG_NIGERCONGO,Brong,dataset/source/afrik/ethnies/PPL_AKAN/ETH_AKAN_BRONG.txt,normal
ETH_AKAN_NZEMA,PPL_AKAN,FLG_NIGERCONGO,Nzema,dataset/source/afrik/ethnies/PPL_AKAN/ETH_AKAN_NZEMA.txt,normal
ETH_AKYE_AKYE_DU_NORD,PPL_AKYE,FLG_NIGERCONGO,Akye du Nord,dataset/source/afrik/ethnies/PPL_AKYE/ETH_AKYE_AKYE_DU_NORD.txt,normal
ETH_AKYE_AKYE_DU_SUD,PPL_AKYE,FLG_NIGERCONGO,Akye du Sud,dataset/source/afrik/ethnies/PPL_AKYE/ETH_AKYE_AKYE_DU_SUD.txt,normal
ETH_ALABA_ALABA_DU_PLATEAU_SUD,PPL_ALABA,FLG_COUCHITIQUE,Alaba du plateau sud,dataset/source/afrik/ethnies/PPL_ALABA/ETH_ALABA_ALABA_DU_PLATEAU_SUD.txt,normal
ETH_ALABA_GROUPES_AGRICOLES_ASSOCIES,PPL_ALABA,FLG_COUCHITIQUE,Groupes agricoles associés,dataset/source/afrik/ethnies/PPL_ALABA/ETH_ALABA_GROUPES_AGRICOLES_ASSOCIES.txt,normal
ETH_ALAGO_ALAGO_DE_DOMA,PPL_ALAGO,FLG_BENOUECONGO,Alago de Doma,dataset/source/afrik/ethnies/PPL_ALAGO/ETH_ALAGO_ALAGO_DE_DOMA.txt,normal
ETH_ALAGO_ALAGO_RURAUX_DU_CENTRE_DE_NASARAWA,PPL_ALAGO,FLG_BENOUECONGO,Alago ruraux du centre de Nasarawa,dataset/source/afrik/ethnies/PPL_ALAGO/ETH_ALAGO_ALAGO_RURAUX_DU_CENTRE_DE_NASARAWA.txt,normal
ETH_ALUR_ALUR_D_OUGANDA,PPL_ALUR,FLG_NILOTIQUE,Alur d'Ouganda,dataset/source/afrik/ethnies/PPL_ALUR/ETH_ALUR_ALUR_D_OUGANDA.txt,normal
ETH_ALUR_ALUR_DE_RDC,PPL_ALUR,FLG_NILOTIQUE,Alur de RDC,dataset/source/afrik/ethnies/PPL_ALUR/ETH_ALUR_ALUR_DE_RDC.txt,normal
ETH_AMBUNDU_AMBUNDU_DU_NORD,PPL_AMBUNDU,FLG_NIGERCONGO,Ambundu du Nord,dataset/source/afrik/ethnies/PPL_AMBUNDU/ETH_AMBUNDU_AMBUNDU_DU_NORD.txt,normal
ETH_AMBUNDU_AMBUNDU_DU_SUD,PPL_AMBUNDU,FLG_NIGERCONGO,Ambundu du Sud,dataset/source/afrik/ethnies/PPL_AMBUNDU/ETH_AMBUNDU_AMBUNDU_DU_SUD.txt,normal
ETH_AMHARA_GOJJAM_AMHARA,PPL_AMHARA,FLG_SEMITIQUE,Gojjam Amhara,dataset/source/afrik/ethnies/PPL_AMHARA/ETH_AMHARA_GOJJAM_AMHARA.txt,normal
ETH_AMHARA_GONDAR_AMHARA,PPL_AMHARA,FLG_SEMITIQUE,Gondar Amhara,dataset/source/afrik/ethnies/PPL_AMHARA/ETH_AMHARA_GONDAR_AMHARA.txt,normal
ETH_AMHARA_WOLLO_AMHARA,PPL_AMHARA,FLG_SEMITIQUE,Wollo Amhara,dataset/source/afrik/ethnies/PPL_AMHARA/ETH_AMHARA_WOLLO_AMHARA.txt,normal
ETH_ANAFRO_CRIOULO_CRIOULO_DE_GUINEE_BISSAU,PPL_ANAFRO_CRIOULO,FLG_CREOLE,Crioulo de Guinée-Bissau,dataset/source/afrik/ethnies/PPL_ANAFRO_CRIOULO/ETH_ANAFRO_CRIOULO_CRIOULO_DE_GUINEE_BISSAU.txt,normal
ETH_ANAGO_ANAGO_DE_PORTO_NOVO,PPL_ANAGO,FLG_BENOUECONGO,Anago de Porto-Novo,dataset/source/afrik/ethnies/PPL_ANAGO/ETH_ANAGO_ANAGO_DE_PORTO_NOVO.txt,normal
ETH_ANAGO_ANAGO_DU_TOGO,PPL_ANAGO,FLG_BENOUECONGO,Anago du Togo,dataset/source/afrik/ethnies/PPL_ANAGO/ETH_ANAGO_ANAGO_DU_TOGO.txt,normal
ETH_ANGOLAR_ANGOLAR_DE_SAO_TOME,PPL_ANGOLAR,FLG_CREOLE,Angolar de São Tomé,dataset/source/afrik/ethnies/PPL_ANGOLAR/ETH_ANGOLAR_ANGOLAR_DE_SAO_TOME.txt,normal
ETH_ANNANG_ANNANG_DU_NORD,PPL_ANNANG,FLG_NIGERCONGO,Annang du Nord,dataset/source/afrik/ethnies/PPL_ANNANG/ETH_ANNANG_ANNANG_DU_NORD.txt,normal
ETH_ANNANG_ANNANG_DU_SUD,PPL_ANNANG,FLG_NIGERCONGO,Annang du Sud,dataset/source/afrik/ethnies/PPL_ANNANG/ETH_ANNANG_ANNANG_DU_SUD.txt,normal
ETH_ANTAKARANA_ANTAKARANA_DU_NORD,PPL_ANTAKARANA,FLG_AUSTRONESIENNE,Antakarana du Nord,dataset/source/afrik/ethnies/PPL_ANTAKARANA/ETH_ANTAKARANA_ANTAKARANA_DU_NORD.txt,normal
ETH_ANTAKARANA_ANTAKARANA_DU_SUD,PPL_ANTAKARANA,FLG_AUSTRONESIENNE,Antakarana du Sud,dataset/source/afrik/ethnies/PPL_ANTAKARANA/ETH_ANTAKARANA_ANTAKARANA_DU_SUD.txt,normal
ETH_ANTAMBAHOAKA_ANTAMBAHOAKA_DU_NORD,PPL_ANTAMBAHOAKA,FLG_AUSTRONESIENNE,Antambahoaka du Nord,dataset/source/afrik/ethnies/PPL_ANTAMBAHOAKA/ETH_ANTAMBAHOAKA_ANTAMBAHOAKA_DU_NORD.txt,normal
ETH_ANTAMBAHOAKA_ANTAMBAHOAKA_DU_SUD,PPL_ANTAMBAHOAKA,FLG_AUSTRONESIENNE,Antambahoaka du Sud,dataset/source/afrik/ethnies/PPL_ANTAMBAHOAKA/ETH_ANTAMBAHOAKA_ANTAMBAHOAKA_DU_SUD.txt,normal
ETH_ANTANDROY_ANTANDROY_DU_NORD,PPL_ANTANDROY,FLG_AUSTRONESIENNE,Antandroy du Nord,dataset/source/afrik/ethnies/PPL_ANTANDROY/ETH_ANTANDROY_ANTANDROY_DU_NORD.txt,normal
ETH_ANTANDROY_ANTANDROY_DU_SUD,PPL_ANTANDROY,FLG_AUSTRONESIENNE,Antandroy du Sud,dataset/source/afrik/ethnies/PPL_ANTANDROY/ETH_ANTANDROY_ANTANDROY_DU_SUD.txt,normal
ETH_ANTSALOVA_ANTSALOVA_DU_NORD,PPL_ANTSALOVA,FLG_AUSTRONESIENNE,Antsalova du Nord,dataset/source/afrik/ethnies/PPL_ANTSALOVA/ETH_ANTSALOVA_ANTSALOVA_DU_NORD.txt,normal
ETH_ANTSALOVA_ANTSALOVA_DU_SUD,PPL_ANTSALOVA,FLG_AUSTRONESIENNE,Antsalova du Sud,dataset/source/afrik/ethnies/PPL_ANTSALOVA/ETH_ANTSALOVA_ANTSALOVA_DU_SUD.txt,normal
ETH_ANUAK_ANUAK_DU_SOUDAN_DU_SUD,PPL_ANUAK,FLG_NILOTIQUE,Anuak du Soudan du Sud,dataset/source/afrik/ethnies/PPL_ANUAK/ETH_ANUAK_ANUAK_DU_SOUDAN_DU_SUD.txt,normal
ETH_ANUAK_ANUAK_D_ETHIOPIE,PPL_ANUAK,FLG_NILOTIQUE,Anuak d'Éthiopie,dataset/source/afrik/ethnies/PPL_ANUAK/ETH_ANUAK_ANUAK_D_ETHIOPIE.txt,normal
ETH_ARABES_AFRIQUE_ARABES_DU_MAGHREB_MAROC_ALGERIE_TUNISIE_LIBYE,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,"Arabes du Maghreb (Maroc, Algérie, Tunisie, Libye)",dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_ARABES_DU_MAGHREB_MAROC_ALGERIE_TUNISIE_LIBYE.txt,normal
ETH_ARABES_AFRIQUE_ARABES_D_EGYPTE,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes d'Égypte,dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_ARABES_D_EGYPTE.txt,normal
ETH_ARABES_AFRIQUE_ARABES_DU_SOUDAN,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes du Soudan,dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_ARABES_DU_SOUDAN.txt,normal
ETH_ARABES_AFRIQUE_ARABES_DE_MAURITANIE,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes de Mauritanie,dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_ARABES_DE_MAURITANIE.txt,normal
ETH_ARABES_AFRIQUE_ARABES_DU_TCHAD,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes du Tchad,dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_ARABES_DU_TCHAD.txt,normal
ETH_ARABES_AFRIQUE_ARABES_DE_DJIBOUTI,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes de Djibouti,dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_ARABES_DE_DJIBOUTI.txt,normal
ETH_ARABES_AFRIQUE_ARABES_DE_SOMALIE,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes de Somalie,dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_ARABES_DE_SOMALIE.txt,normal
ETH_ARABES_AFRIQUE_ARABES_DES_COMORES,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes des Comores,dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_ARABES_DES_COMORES.txt,normal
ETH_ARABES_AFRIQUE_BEDOUINS_SAHARIENS,PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Bédouins sahariens,dataset/source/afrik/ethnies/PPL_ARABES_AFRIQUE/ETH_ARABES_AFRIQUE_BEDOUINS_SAHARIENS.txt,normal
ETH_ARGOBBA_ARGOBBA_DU_SHEWA,PPL_ARGOBBA,FLG_SEMITIQUE,Argobba du Shewa,dataset/source/afrik/ethnies/PPL_ARGOBBA/ETH_ARGOBBA_ARGOBBA_DU_SHEWA.txt,normal
ETH_ARGOBBA_ARGOBBA_DU_HARAR,PPL_ARGOBBA,FLG_SEMITIQUE,Argobba du Harar,dataset/source/afrik/ethnies/PPL_ARGOBBA/ETH_ARGOBBA_ARGOBBA_DU_HARAR.txt,normal
ETH_ARINGA_ARINGA_DU_NORD,PPL_ARINGA,FLG_SOUDANIQUECENTRAL,Aringa du Nord,dataset/source/afrik/ethnies/PPL_ARINGA/ETH_ARINGA_ARINGA_DU_NORD.txt,normal
ETH_ARINGA_ARINGA_DU_SUD,PPL_ARINGA,FLG_SOUDANIQUECENTRAL,Aringa du Sud,dataset/source/afrik/ethnies/PPL_ARINGA/ETH_ARINGA_ARINGA_DU_SUD.txt,normal
ETH_ARSII_ARSI_DU_NORD,PPL_ARSII,FLG_COUCHITIQUE,Arsi du Nord,dataset/source/afrik/ethnies/PPL_ARSII/ETH_ARSII_ARSI_DU_NORD.txt,normal
ETH_ARSII_ARSI_DU_SUD,PPL_ARSII,FLG_COUCHITIQUE,Arsi du Sud,dataset/source/afrik/ethnies/PPL_ARSII/ETH_ARSII_ARSI_DU_SUD.txt,normal
ETH_ARSII_ARSI_DE_L_EST,PPL_ARSII,FLG_COUCHITIQUE,Arsi de l'Est,dataset/source/afrik/ethnies/PPL_ARSII/ETH_ARSII_ARSI_DE_L_EST.txt,normal
ETH_ARSII_ARSI_DE_L_OUEST,PPL_ARSII,FLG_COUCHITIQUE,Arsi de l'Ouest,dataset/source/afrik/ethnies/PPL_ARSII/ETH_ARSII_ARSI_DE_L_OUEST.txt,normal
ETH_ASANTE_ASANTE_DU_NORD,PPL_ASANTE,FLG_NIGERCONGO,Asante du Nord,dataset/source/afrik/ethnies/PPL_ASANTE/ETH_ASANTE_ASANTE_DU_NORD.txt,normal
ETH_ASANTE_ASANTE_DU_SUD,PPL_ASANTE,FLG_NIGERCONGO,Asante du Sud,dataset/source/afrik/ethnies/PPL_ASANTE/ETH_ASANTE_ASANTE_DU_SUD.txt,normal
ETH_AUSTRO_MACRO_MERINA,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Merina,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_MERINA.txt,normal
ETH_AUSTRO_MACRO_BETSIMISARAKA,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Betsimisaraka,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_BETSIMISARAKA.txt,normal
ETH_AUSTRO_MACRO_SAKALAVA,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Sakalava,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_SAKALAVA.txt,normal
ETH_AUSTRO_MACRO_ANTANDROY,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Antandroy,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_ANTANDROY.txt,normal
ETH_AUSTRO_MACRO_BETSILEO,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Betsileo,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_BETSILEO.txt,normal
ETH_AUSTRO_MACRO_TSIMIHETY,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Tsimihety,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_TSIMIHETY.txt,normal
ETH_AUSTRO_MACRO_ANTAKARANA,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Antakarana,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_ANTAKARANA.txt,normal
ETH_AUSTRO_MACRO_VEZO,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Vezo,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_VEZO.txt,normal
ETH_AUSTRO_MACRO_TANOSY_ANTANOSY,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Tanosy (Antanosy),dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_TANOSY_ANTANOSY.txt,normal
ETH_AUSTRO_MACRO_ANTAMBAHOAKA,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Antambahoaka,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_ANTAMBAHOAKA.txt,normal
ETH_AUSTRO_MACRO_BEZANOZANO,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Bezanozano,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_BEZANOZANO.txt,normal
ETH_AUSTRO_MACRO_MIKEA,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Mikea,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_MIKEA.txt,normal
ETH_AUSTRO_MACRO_ANTSALOVA,PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Antsalova,dataset/source/afrik/ethnies/PPL_AUSTRO_MACRO/ETH_AUSTRO_MACRO_ANTSALOVA.txt,normal
ETH_AZANDE_SUD_AZANDE_DU_SOUDAN_DU_SUD,PPL_AZANDE_SUD,FLG_SOUDANIQUECENTRAL,Azande du Soudan du Sud,dataset/source/afrik/ethnies/PPL_AZANDE_SUD/ETH_AZANDE_SUD_AZANDE_DU_SOUDAN_DU_SUD.txt,normal
ETH_AZANDE_SUD_AZANDE_DE_RDC,PPL_AZANDE_SUD,FLG_SOUDANIQUECENTRAL,Azande de RDC,dataset/source/afrik/ethnies/PPL_AZANDE_SUD/ETH_AZANDE_SUD_AZANDE_DE_RDC.txt,normal
ETH_AZANDE_SUD_AZANDE_DE_RCA,PPL_AZANDE_SUD,FLG_SOUDANIQUECENTRAL,Azande de RCA,dataset/source/afrik/ethnies/PPL_AZANDE_SUD/ETH_AZANDE_SUD_AZANDE_DE_RCA.txt,normal
ETH_BABUR_BABUR_DU_NORD,PPL_BABUR,FLG_TCHADIQUE,Babur du Nord,dataset/source/afrik/ethnies/PPL_BABUR/ETH_BABUR_BABUR_DU_NORD.txt,normal
ETH_BABUR_BABUR_DU_SUD,PPL_BABUR,FLG_TCHADIQUE,Babur du Sud,dataset/source/afrik/ethnies/PPL_BABUR/ETH_BABUR_BABUR_DU_SUD.txt,normal
ETH_BADE_BADE_DU_NORD,PPL_BADE,FLG_TCHADIQUE,Bade du Nord,dataset/source/afrik/ethnies/PPL_BADE/ETH_BADE_BADE_DU_NORD.txt,normal
ETH_BADE_BADE_DU_SUD,PPL_BADE,FLG_TCHADIQUE,Bade du Sud,dataset/source/afrik/ethnies/PPL_BADE/ETH_BADE_BADE_DU_SUD.txt,normal
ETH_BAFUTA_BAFUTA_DU_NORD,PPL_BAFUTA,FLG_NIGERCONGO,Bafuta du Nord,dataset/source/afrik/ethnies/PPL_BAFUTA/ETH_BAFUTA_BAFUTA_DU_NORD.txt,normal
ETH_BAFUTA_BAFUTA_DU_SUD,PPL_BAFUTA,FLG_NIGERCONGO,Bafuta du Sud,dataset/source/afrik/ethnies/PPL_BAFUTA/ETH_BAFUTA_BAFUTA_DU_SUD.txt,normal
ETH_BAGA_BAGA_SITEMU,PPL_BAGA,FLG_ATLANTIQUE,Baga Sitemu,dataset/source/afrik/ethnies/PPL_BAGA/ETH_BAGA_BAGA_SITEMU.txt,normal
ETH_BAGA_BAGA_KALUM,PPL_BAGA,FLG_ATLANTIQUE,Baga Kalum,dataset/source/afrik/ethnies/PPL_BAGA/ETH_BAGA_BAGA_KALUM.txt,normal
ETH_BAGA_BAGA_KOBA,PPL_BAGA,FLG_ATLANTIQUE,Baga Koba,dataset/source/afrik/ethnies/PPL_BAGA/ETH_BAGA_BAGA_KOBA.txt,normal
ETH_BAGA_BAGA_MANDORI,PPL_BAGA,FLG_ATLANTIQUE,Baga Mandori,dataset/source/afrik/ethnies/PPL_BAGA/ETH_BAGA_BAGA_MANDORI.txt,normal
ETH_BAGGAR_BAGGAR_DU_NORD,PPL_BAGGAR,FLG_NIGERCONGO,Baggar du Nord,dataset/source/afrik/ethnies/PPL_BAGGAR/ETH_BAGGAR_BAGGAR_DU_NORD.txt,normal
ETH_BAGGAR_BAGGAR_DU_SUD,PPL_BAGGAR,FLG_NIGERCONGO,Baggar du Sud,dataset/source/afrik/ethnies/PPL_BAGGAR/ETH_BAGGAR_BAGGAR_DU_SUD.txt,normal
ETH_BAINOUK_BAINOUK_DU_SENEGAL,PPL_BAINOUK,FLG_NIGERCONGO,Bainouk du Sénégal,dataset/source/afrik/ethnies/PPL_BAINOUK/ETH_BAINOUK_BAINOUK_DU_SENEGAL.txt,normal
ETH_BAINOUK_BAINOUK_DE_GAMBIE,PPL_BAINOUK,FLG_NIGERCONGO,Bainouk de Gambie,dataset/source/afrik/ethnies/PPL_BAINOUK/ETH_BAINOUK_BAINOUK_DE_GAMBIE.txt,normal
ETH_BAINOUK_BAINOUK_DE_GUINEE_BISSAU,PPL_BAINOUK,FLG_NIGERCONGO,Bainouk de Guinée-Bissau,dataset/source/afrik/ethnies/PPL_BAINOUK/ETH_BAINOUK_BAINOUK_DE_GUINEE_BISSAU.txt,normal
ETH_BAKIGA_BAKIGA_DU_NORD,PPL_BAKIGA,FLG_NIGERCONGO,Bakiga du Nord,dataset/source/afrik/ethnies/PPL_BAKIGA/ETH_BAKIGA_BAKIGA_DU_NORD.txt,normal
ETH_BAKIGA_BAKIGA_DU_SUD,PPL_BAKIGA,FLG_NIGERCONGO,Bakiga du Sud,dataset/source/afrik/ethnies/PPL_BAKIGA/ETH_BAKIGA_BAKIGA_DU_SUD.txt,normal
ETH_BAKWE_BAKWE_DU_NORD,PPL_BAKWE,FLG_KROU,Bakwé du Nord,dataset/source/afrik/ethnies/PPL_BAKWE/ETH_BAKWE_BAKWE_DU_NORD.txt,normal
ETH_BAKWE_BAKWE_DU_SUD,PPL_BAKWE,FLG_KROU,Bakwé du Sud,dataset/source/afrik/ethnies/PPL_BAKWE/ETH_BAKWE_BAKWE_DU_SUD.txt,normal
ETH_BAKWERI_BAKWERI_DU_NORD,PPL_BAKWERI,FLG_NIGERCONGO,Bakweri du Nord,dataset/source/afrik/ethnies/PPL_BAKWERI/ETH_BAKWERI_BAKWERI_DU_NORD.txt,normal
ETH_BAKWERI_BAKWERI_DU_SUD,PPL_BAKWERI,FLG_NIGERCONGO,Bakweri du Sud,dataset/source/afrik/ethnies/PPL_BAKWERI/ETH_BAKWERI_BAKWERI_DU_SUD.txt,normal
ETH_BALANTA_BALANTA_DE_GUINEE_BISSAU,PPL_BALANTA,FLG_NIGERCONGO,Balanta de Guinée-Bissau,dataset/source/afrik/ethnies/PPL_BALANTA/ETH_BALANTA_BALANTA_DE_GUINEE_BISSAU.txt,normal
ETH_BALANTA_BALANTA_DU_SENEGAL,PPL_BALANTA,FLG_NIGERCONGO,Balanta du Sénégal,dataset/source/afrik/ethnies/PPL_BALANTA/ETH_BALANTA_BALANTA_DU_SENEGAL.txt,normal
ETH_BAMBARA_BAMBARA_DU_MALI,PPL_BAMBARA,FLG_NIGERCONGO,Bambara du Mali,dataset/source/afrik/ethnies/PPL_BAMBARA/ETH_BAMBARA_BAMBARA_DU_MALI.txt,normal
