PPL_ID,FLG_ID,ethnie_label_brut,source_index,source_inventaire,source_ppl_ethnies,source_labels,ETH_ID_proposé,fichier_ETH_existant,statut_generation,niveau,notes_convergence
PPL_AKAN,FLG_NIGERCONGO,Autres sous-groupes akan,1,1,1,Autres sous-groupes akan,,,manquant,macro_ou_agrégat,
PPL_AKYE,FLG_NIGERCONGO,Akye du Nord,1,1,1,Akye du Nord,ETH_AKYE_AKYE_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AKYE_AKYE_DU_NORD.txt,existant,ethnie_certaine,
PPL_AKYE,FLG_NIGERCONGO,Akye du Sud,1,1,1,Akye du Sud,ETH_AKYE_AKYE_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AKYE_AKYE_DU_SUD.txt,existant,ethnie_certaine,
PPL_ALABA,FLG_COUCHITIQUE,Alaba du plateau sud,1,1,1,Alaba du plateau sud,ETH_ALABA_ALABA_DU_PLATEAU_SUD,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ALABA_ALABA_DU_PLATEAU_SUD.txt,existant,ethnie_certaine,
PPL_ALABA,FLG_COUCHITIQUE,Groupes agricoles associés,1,1,1,Groupes agricoles associés,ETH_ALABA_GROUPES_AGRICOLES_ASSOCIES,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ALABA_GROUPES_AGRICOLES_ASSOCIES.txt,existant,ethnie_certaine,
PPL_ALAGO,FLG_BENOUECONGO,Alago de Doma,1,1,1,Alago de Doma,ETH_ALAGO_ALAGO_DE_DOMA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ALAGO_ALAGO_DE_DOMA.txt,existant,ethnie_certaine,
PPL_ALAGO,FLG_BENOUECONGO,Alago ruraux du centre de Nasarawa,1,1,1,Alago ruraux du centre de Nasarawa,ETH_ALAGO_ALAGO_RURAUX_DU_CENTRE_DE_NASARAWA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ALAGO_ALAGO_RURAUX_DU_CENTRE_DE_NASARAWA.txt,existant,ethnie_certaine,
PPL_ALUR,FLG_NILOTIQUE,Alur d'Ouganda,1,1,1,Alur d'Ouganda,ETH_ALUR_ALUR_D_OUGANDA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ALUR_ALUR_D_OUGANDA.txt,existant,ethnie_certaine,
PPL_ALUR,FLG_NILOTIQUE,Alur de RDC,1,1,1,Alur de RDC,ETH_ALUR_ALUR_DE_RDC,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ALUR_ALUR_DE_RDC.txt,existant,ethnie_certaine,
PPL_AMAZIGH_MACRO,FLG_BERBERE,"Tous les peuples amazighs du Maghreb (Kabyles, Chaouis, Chleuhs, Rifains, Mozabites, Touaregs, etc.)",1,1,1,"Tous les peuples amazighs du Maghreb (Kabyles, Chaouis, Chleuhs, Rifains, Mozabites, Touaregs, etc.)",,,manquant,macro_ou_agrégat,
PPL_AMBUNDU,FLG_NIGERCONGO,Ambundu du Nord,1,1,1,Ambundu du Nord,ETH_AMBUNDU_AMBUNDU_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AMBUNDU_AMBUNDU_DU_NORD.txt,existant,ethnie_certaine,
PPL_AMBUNDU,FLG_NIGERCONGO,Ambundu du Sud,1,1,1,Ambundu du Sud,ETH_AMBUNDU_AMBUNDU_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AMBUNDU_AMBUNDU_DU_SUD.txt,existant,ethnie_certaine,
PPL_AMHARA,FLG_SEMITIQUE,Gojjam Amhara,1,1,1,Gojjam Amhara,ETH_AMHARA_GOJJAM_AMHARA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AMHARA_GOJJAM_AMHARA.txt,existant,ethnie_certaine,
PPL_AMHARA,FLG_SEMITIQUE,Gondar Amhara,1,1,1,Gondar Amhara,ETH_AMHARA_GONDAR_AMHARA,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_AMHARA_GONDAR_AMHARA.txt,existant,ethnie_certaine,
PPL_AMHARA,FLG_SEMITIQUE,Wollo Amhara,1,1,1,Wollo Amhara,ETH_AMHARA_WOLLO_AMHARA,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_AMHARA_WOLLO_AMHARA.txt,existant,ethnie_certaine,
PPL_ANAFRO_CRIOULO,FLG_CREOLE,Crioulo de Guinée-Bissau,1,1,1,Crioulo de Guinée-Bissau,ETH_ANAFRO_CRIOULO_CRIOULO_DE_GUINEE_BISSAU,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANAFRO_CRIOULO_CRIOULO_DE_GUINEE_BISSAU.txt,existant,ethnie_certaine,
PPL_ANAGO,FLG_BENOUECONGO,Anago de Porto-Novo,1,1,1,Anago de Porto-Novo,ETH_ANAGO_ANAGO_DE_PORTO_NOVO,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANAGO_ANAGO_DE_PORTO_NOVO.txt,existant,ethnie_certaine,
PPL_ANAGO,FLG_BENOUECONGO,Anago du Togo,1,1,1,Anago du Togo,ETH_ANAGO_ANAGO_DU_TOGO,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANAGO_ANAGO_DU_TOGO.txt,existant,ethnie_certaine,
PPL_ANGOLAR,FLG_CREOLE,Angolar de São Tomé,1,1,1,Angolar de São Tomé,ETH_ANGOLAR_ANGOLAR_DE_SAO_TOME,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANGOLAR_ANGOLAR_DE_SAO_TOME.txt,existant,ethnie_certaine,
PPL_ANNANG,FLG_NIGERCONGO,Annang du Nord,1,1,1,Annang du Nord,ETH_ANNANG_ANNANG_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANNANG_ANNANG_DU_NORD.txt,existant,ethnie_certaine,
PPL_ANNANG,FLG_NIGERCONGO,Annang du Sud,1,1,1,Annang du Sud,ETH_ANNANG_ANNANG_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANNANG_ANNANG_DU_SUD.txt,existant,ethnie_certaine,
PPL_ANTAKARANA,FLG_AUSTRONESIENNE,Antakarana du Nord,1,1,1,Antakarana du Nord,ETH_ANTAKARANA_ANTAKARANA_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANTAKARANA_ANTAKARANA_DU_NORD.txt,existant,ethnie_certaine,
PPL_ANTAKARANA,FLG_AUSTRONESIENNE,Antakarana du Sud,1,1,1,Antakarana du Sud,ETH_ANTAKARANA_ANTAKARANA_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANTAKARANA_ANTAKARANA_DU_SUD.txt,existant,ethnie_certaine,
PPL_ANTAMBAHOAKA,FLG_AUSTRONESIENNE,Antambahoaka du Nord,1,1,1,Antambahoaka du Nord,ETH_ANTAMBAHOAKA_ANTAMBAHOAKA_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANTAMBAHOAKA_ANTAMBAHOAKA_DU_NORD.txt,existant,ethnie_certaine,
PPL_ANTAMBAHOAKA,FLG_AUSTRONESIENNE,Antambahoaka du Sud,1,1,1,Antambahoaka du Sud,ETH_ANTAMBAHOAKA_ANTAMBAHOAKA_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANTAMBAHOAKA_ANTAMBAHOAKA_DU_SUD.txt,existant,ethnie_certaine,
PPL_ANTANDROY,FLG_AUSTRONESIENNE,Antandroy du Nord,1,1,1,Antandroy du Nord,ETH_ANTANDROY_ANTANDROY_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANTANDROY_ANTANDROY_DU_NORD.txt,existant,ethnie_certaine,
PPL_ANTANDROY,FLG_AUSTRONESIENNE,Antandroy du Sud,1,1,1,Antandroy du Sud,ETH_ANTANDROY_ANTANDROY_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANTANDROY_ANTANDROY_DU_SUD.txt,existant,ethnie_certaine,
PPL_ANTSALOVA,FLG_AUSTRONESIENNE,Antsalova du Nord,1,1,1,Antsalova du Nord,ETH_ANTSALOVA_ANTSALOVA_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANTSALOVA_ANTSALOVA_DU_NORD.txt,existant,ethnie_certaine,
PPL_ANTSALOVA,FLG_AUSTRONESIENNE,Antsalova du Sud,1,1,1,Antsalova du Sud,ETH_ANTSALOVA_ANTSALOVA_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANTSALOVA_ANTSALOVA_DU_SUD.txt,existant,ethnie_certaine,
PPL_ANUAK,FLG_NILOTIQUE,Anuak du Soudan du Sud,1,1,1,Anuak du Soudan du Sud,ETH_ANUAK_ANUAK_DU_SOUDAN_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANUAK_ANUAK_DU_SOUDAN_DU_SUD.txt,existant,ethnie_certaine,
PPL_ANUAK,FLG_NILOTIQUE,Anuak d'Éthiopie,1,1,1,Anuak d'Éthiopie,ETH_ANUAK_ANUAK_D_ETHIOPIE,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ANUAK_ANUAK_D_ETHIOPIE.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,"Arabes du Maghreb (Maroc, Algérie, Tunisie, Libye)",1,1,1,"Arabes du Maghreb (Maroc, Algérie, Tunisie, Libye)",ETH_ARABES_AFRIQUE_ARABES_DU_MAGHREB_MAROC_ALGERIE_TUNISIE_LIBYE,,manquant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes d'Égypte,1,1,1,Arabes d'Égypte,ETH_ARABES_AFRIQUE_ARABES_D_EGYPTE,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARABES_AFRIQUE_ARABES_D_EGYPTE.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes du Soudan,1,1,1,Arabes du Soudan,ETH_ARABES_AFRIQUE_ARABES_DU_SOUDAN,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARABES_AFRIQUE_ARABES_DU_SOUDAN.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes de Mauritanie,1,1,1,Arabes de Mauritanie,ETH_ARABES_AFRIQUE_ARABES_DE_MAURITANIE,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARABES_AFRIQUE_ARABES_DE_MAURITANIE.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes du Tchad,1,1,1,Arabes du Tchad,ETH_ARABES_AFRIQUE_ARABES_DU_TCHAD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARABES_AFRIQUE_ARABES_DU_TCHAD.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes de Djibouti,1,1,1,Arabes de Djibouti,ETH_ARABES_AFRIQUE_ARABES_DE_DJIBOUTI,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARABES_AFRIQUE_ARABES_DE_DJIBOUTI.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes de Somalie,1,1,1,Arabes de Somalie,ETH_ARABES_AFRIQUE_ARABES_DE_SOMALIE,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARABES_AFRIQUE_ARABES_DE_SOMALIE.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Arabes des Comores,1,1,1,Arabes des Comores,ETH_ARABES_AFRIQUE_ARABES_DES_COMORES,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARABES_AFRIQUE_ARABES_DES_COMORES.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Bédouins sahariens,1,1,1,Bédouins sahariens,ETH_ARABES_AFRIQUE_BEDOUINS_SAHARIENS,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARABES_AFRIQUE_BEDOUINS_SAHARIENS.txt,existant,ethnie_certaine,
PPL_ARABES_AFRIQUE,FLG_SEMITIQUE,Communautés arabes diasporiques,1,1,1,Communautés arabes diasporiques,,,manquant,sous_ethnie_ou_clan,
PPL_ARGOBBA,FLG_SEMITIQUE,Argobba du Shewa,1,1,1,Argobba du Shewa,ETH_ARGOBBA_ARGOBBA_DU_SHEWA,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARGOBBA_ARGOBBA_DU_SHEWA.txt,existant,ethnie_certaine,
PPL_ARGOBBA,FLG_SEMITIQUE,Argobba du Harar,1,1,1,Argobba du Harar,ETH_ARGOBBA_ARGOBBA_DU_HARAR,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARGOBBA_ARGOBBA_DU_HARAR.txt,existant,ethnie_certaine,
PPL_ARINGA,FLG_SOUDANIQUECENTRAL,Aringa du Nord,1,1,1,Aringa du Nord,ETH_ARINGA_ARINGA_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARINGA_ARINGA_DU_NORD.txt,existant,ethnie_certaine,
PPL_ARINGA,FLG_SOUDANIQUECENTRAL,Aringa du Sud,1,1,1,Aringa du Sud,ETH_ARINGA_ARINGA_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARINGA_ARINGA_DU_SUD.txt,existant,ethnie_certaine,
PPL_ARSII,FLG_COUCHITIQUE,Arsi du Nord,1,1,1,Arsi du Nord,ETH_ARSII_ARSI_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARSII_ARSI_DU_NORD.txt,existant,ethnie_certaine,
PPL_ARSII,FLG_COUCHITIQUE,Arsi du Sud,1,1,1,Arsi du Sud,ETH_ARSII_ARSI_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARSII_ARSI_DU_SUD.txt,existant,ethnie_certaine,
PPL_ARSII,FLG_COUCHITIQUE,Arsi de l'Est,1,1,1,Arsi de l'Est,ETH_ARSII_ARSI_DE_L_EST,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARSII_ARSI_DE_L_EST.txt,existant,ethnie_certaine,
PPL_ARSII,FLG_COUCHITIQUE,Arsi de l'Ouest,1,1,1,Arsi de l'Ouest,ETH_ARSII_ARSI_DE_L_OUEST,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ARSII_ARSI_DE_L_OUEST.txt,existant,ethnie_certaine,
PPL_ASANTE,FLG_NIGERCONGO,Asante du Nord,1,1,1,Asante du Nord,ETH_ASANTE_ASANTE_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ASANTE_ASANTE_DU_NORD.txt,existant,ethnie_certaine,
PPL_ASANTE,FLG_NIGERCONGO,Asante du Sud,1,1,1,Asante du Sud,ETH_ASANTE_ASANTE_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_ASANTE_ASANTE_DU_SUD.txt,existant,ethnie_certaine,
PPL_ATLANTIQUE_MACRO,FLG_ATLANTIQUE,"Wolof, Sérère, Diola, Balanta, Bainouk, Manjak, Papel, Mankanya, Bijogo, Temne, Limba, Yalunka, Baga, Sape, et autres sous-groupes atlantique.",1,1,1,"Wolof, Sérère, Diola, Balanta, Bainouk, Manjak, Papel, Mankanya, Bijogo, Temne, Limba, Yalunka, Baga, Sape, et autres sous-groupes atlantique.",,,manquant,macro_ou_agrégat,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Merina,1,1,1,Merina,ETH_AUSTRO_MACRO_MERINA,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_AUSTRO_MACRO_MERINA.txt,existant,ethnie_certaine,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Betsimisaraka,1,1,1,Betsimisaraka,ETH_AUSTRO_MACRO_BETSIMISARAKA,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_AUSTRO_MACRO_BETSIMISARAKA.txt,existant,ethnie_certaine,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Sakalava,1,1,1,Sakalava,ETH_AUSTRO_MACRO_SAKALAVA,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_AUSTRO_MACRO_SAKALAVA.txt,existant,ethnie_certaine,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Antandroy,1,1,1,Antandroy,ETH_AUSTRO_MACRO_ANTANDROY,dataset/source/afrik/ethnies/ethnies_batch9_ethnies_certaines/ETH_AUSTRO_MACRO_ANTANDROY.txt,existant,ethnie_certaine,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Betsileo,1,1,1,Betsileo,ETH_AUSTRO_MACRO_BETSILEO,dataset/source/afrik/ethnies/ethnies_batch4_certaines (1)/ETH_AUSTRO_MACRO_BETSILEO.txt,existant,ethnie_certaine,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Tsimihety,1,1,1,Tsimihety,ETH_AUSTRO_MACRO_TSIMIHETY,dataset/source/afrik/ethnies/ethnies_batch4_certaines (1)/ETH_AUSTRO_MACRO_TSIMIHETY.txt,existant,ethnie_certaine,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Antakarana,1,1,1,Antakarana,ETH_AUSTRO_MACRO_ANTAKARANA,dataset/source/afrik/ethnies/ethnies_batch4_certaines (1)/ETH_AUSTRO_MACRO_ANTAKARANA.txt,existant,ethnie_certaine,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Vezo,1,1,1,Vezo,ETH_AUSTRO_MACRO_VEZO,dataset/source/afrik/ethnies/ethnies_batch4_certaines (1)/ETH_AUSTRO_MACRO_VEZO.txt,existant,ethnie_certaine,
PPL_AUSTRO_MACRO,FLG_AUSTRONESIENNE,Tanosy (Antanosy),1,1,1,Tanosy (Antanosy),ETH_AUSTRO_MACRO_TANOSY_ANTANOSY,dataset/source/afrik/ethnies/ethnies_batch4_certaines (1)/ETH_AUSTRO_MACRO_TANOSY_ANTANOSY.txt,existant,ethnie_certaine,
