row_id,platform,surface,publication_id,url,published_date,age_days_at_collection,collected_date,content_group_id,group_method,typologie,hook_or_caption_start,actual_format,format_detail,format_verification,ledger_format,ledger_format_matches_live,duration_s,slide_count,views,views_definition,reach,impressions,likes,comments,shares,saves,followers_gained,link_clicks,avg_watch_s,pct_viewed,core_interactions_per_1000_views,views_vs_platform_format_median,metrics_scope,observation_window,distribution,dq_notes
R026,instagram,instagram,Ddipp7NK1v7,https://www.instagram.com/reel/Ddipp7NK1v7/,2026-09-21,5,2026-09-26,goma-un-nom-sans-source,ledger-url,lieu,D'où vient le nom « Goma » ? On dit : du tamb,short_video,reel,Business Suite type column,video,yes,138,,402,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),353,,12,1,5,1,6,,16 s,,44.8,0.32,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R027,facebook,facebook,1091358410515555,https://www.facebook.com/reel/1091358410515555,2026-09-21,5,2026-09-26,ethnie-d-ou-vient-le-mot,ledger-url,mot,D'où vient le mot « ethnie » ? Voici ce que d,short_video,reel,Business Suite type column,video,yes,109,,626,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),588,,11,0,1,2,2,,13 s,,19.2,0.88,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R028,instagram,instagram,Ddio8K6q1WF,https://www.instagram.com/reel/Ddio8K6q1WF/,2026-09-21,5,2026-09-26,ethnie-d-ou-vient-le-mot,ledger-url,mot,D'où vient le mot « ethnie » ? Le Trésor de l,short_video,reel,Business Suite type column,video,yes,109,,399,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),342,,8,0,1,4,6,,12 s,,22.6,0.31,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R029,facebook,facebook,meta-row-28,,2026-09-17,9,2026-09-26,operator-meta-no-subject,text-rule,,"Merci pour vos réactions, y compris les plus",text,text post,Business Suite type column,,,,,152,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),40,,0,0,1,0,0,,,,6.6,1,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; subject matched from caption text, not URL"
R030,facebook,facebook,2757309928004646,https://www.facebook.com/reel/2757309928004646,2026-09-17,9,2026-09-26,operator-meta-no-subject,text-rule,,"Bonjour à toutes et à tous, Nous ne disons pa",short_video,reel,Business Suite type column,,,15,,1209,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),1006,,12,1,0,0,1,,5 s,,10.8,1.71,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"subject matched from caption text, not URL"
R031,instagram,instagram,DdZMcPAo3Yx,https://www.instagram.com/reel/DdZMcPAo3Yx/,2026-09-17,9,2026-09-26,operator-meta-no-subject,text-rule,,Nous ne disons pas qui a raison. Nous raconto,short_video,reel,Business Suite type column,,,9,,360,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),273,,6,0,0,0,1,,4 s,,16.7,0.28,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"subject matched from caption text, not URL"
R032,facebook,facebook,meta-row-31,,2026-09-17,9,2026-09-26,la-carte-cachee-series,series-inference,,Votre reel,short_video,reel,Business Suite type column,,,25,,779,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),573,,11,1,2,2,2,,10 s,,18,1.1,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; captionless reel of series 'La carte cachee' (6 reels on 2026-09-17, inferred; only 05/06 and the series opener verified); not in ledger"
R033,facebook,facebook,meta-row-32,,2026-09-17,9,2026-09-26,la-carte-cachee-series,series-inference,,Votre reel,short_video,reel,Business Suite type column,,,23,,1478,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),1114,,14,0,3,2,5,,11 s,,11.5,2.08,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; captionless reel of series 'La carte cachee' (6 reels on 2026-09-17, inferred; only 05/06 and the series opener verified); not in ledger"
R034,facebook,facebook,1097621012922282,https://www.facebook.com/reel/1097621012922282,2026-09-17,9,2026-09-26,dioula-un-metier-une-langue-une-identite,manual-verified,peuple,Votre reel,short_video,reel,Business Suite type column,,,18,,77964,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),59145,,843,414,144,226,514,,14 s,,18,109.96,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"VERIFIED by opening: 'La carte cachee 05/06 - Le mot dioula est sur la carte, deux fois'; text-on-image reel with music; 414 comments mostly disputes; not in ledger"
R035,facebook,facebook,meta-row-34,,2026-09-17,9,2026-09-26,la-carte-cachee-series,series-inference,,Votre reel,short_video,reel,Business Suite type column,,,41,,2783,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),2344,,41,0,7,11,11,,12 s,,17.2,3.93,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; captionless reel of series 'La carte cachee' (6 reels on 2026-09-17, inferred; only 05/06 and the series opener verified); not in ledger"
R036,facebook,facebook,meta-row-35,,2026-09-17,9,2026-09-26,la-carte-cachee-series,series-inference,,Votre reel,short_video,reel,Business Suite type column,,,29,,608,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),513,,8,0,0,1,1,,6 s,,13.2,0.86,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; captionless reel of series 'La carte cachee' (6 reels on 2026-09-17, inferred; only 05/06 and the series opener verified); not in ledger"
R037,facebook,facebook,911511311716859,https://www.facebook.com/reel/911511311716859,2026-09-17,9,2026-09-26,la-carte-cachee-series,series-inference,,Votre reel,short_video,reel,Business Suite type column,,,45,,359,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),309,,6,0,0,0,1,,8 s,,16.7,0.51,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"captionless reel of series 'La carte cachee' (6 reels on 2026-09-17, inferred; only 05/06 and the series opener verified); not in ledger"
R038,instagram,instagram,DdXck5ho7pq,https://www.instagram.com/reel/DdXck5ho7pq/,2026-09-17,9,2026-09-26,unresolved,none,,Cette publication ne contient pas de texte,short_video,reel,Business Suite type column,,,9,,266,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),204,,4,0,0,0,0,,4 s,,15,0.21,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),subject not identified
R039,instagram+facebook(combined),instagram+facebook,DdRDe9XCEct,https://www.instagram.com/p/DdRDe9XCEct/,2026-09-17,9,2026-09-26,krio-quatre-vagues-freetown,text-rule,peuple,« Créole » veut dire né dans la colonie. En A,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,513,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",33,,15,1,7,3,0,0,,,44.8,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R040,instagram+facebook(combined),instagram+facebook,DdRoajWCCx2,https://www.instagram.com/p/DdRoajWCCx2/,2026-09-17,9,2026-09-26,senoufo-syenambele,text-rule,peuple,"En Côte d'Ivoire, les sculpteurs qui ont insp",carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,358,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",24,,10,0,3,6,0,0,,,36.3,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R041,instagram+facebook(combined),instagram+facebook,DdRp0KzCPVc,https://www.instagram.com/p/DdRp0KzCPVc/,2026-09-17,9,2026-09-26,daloa-zokou-gbeuly,text-rule,lieu,"En Côte d'Ivoire, le fondateur de Daloa est m",carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,525,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",36,,16,0,4,13,0,0,,,38.1,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R042,instagram+facebook(combined),instagram+facebook,DdVSaEuCIXy,https://www.instagram.com/p/DdVSaEuCIXy/,2026-09-17,9,2026-09-26,lingala-invente-par-les-belges,text-rule,langue,"Le lingala, une langue inventée par les Belge",carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,593,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",29,,40,0,34,23,2,0,,,124.8,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R043,instagram+facebook(combined),instagram+facebook,DdVTDTOCPjR,https://www.instagram.com/p/DdVTDTOCPjR/,2026-09-17,9,2026-09-26,rastafari-ras-tafari,text-rule,peuple,"« Rastafari » n'est pas un mot jamaïcain, c'e",carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,381,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",33,,13,0,3,8,0,0,,,42,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R044,instagram+facebook(combined),instagram+facebook,DdVToP3CI2u,https://www.instagram.com/p/DdVToP3CI2u/,2026-09-17,9,2026-09-26,cameroun-le-continent,ledger-url,pays,On appelle le Cameroun « le Continent ». D'où,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",carrousel,yes,,,245,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",23,,7,0,1,2,0,0,,,32.7,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows"
R045,instagram+facebook(combined),instagram+facebook,DdVVs9PCEFp,https://www.instagram.com/p/DdVVs9PCEFp/,2026-09-17,9,2026-09-26,igbo-enwe-eze-sans-roi,text-rule,peuple,"Au Nigeria, la plupart des villages igbo se g",carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,288,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",25,,6,0,1,1,0,0,,,24.3,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R046,instagram+facebook(combined),instagram+facebook,DdVXiFGiFCL,https://www.instagram.com/p/DdVXiFGiFCL/,2026-09-17,9,2026-09-26,cabinda-yombe-trois-conventions,text-rule,peuple,Qui a nommé le Cabinda ? Personne ne le sait,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,241,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",26,,3,0,1,4,0,0,,,16.6,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R047,instagram+facebook(combined),instagram+facebook,DdV4LwUCGES,https://www.instagram.com/p/DdV4LwUCGES/,2026-09-17,9,2026-09-26,diallo-djallo-jallow,ledger-url,patronyme,Diallo et Djallo ne sont pas deux noms. C'est,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",carrousel,yes,,,220,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",21,,6,0,3,2,1,0,,,40.9,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows"
R048,instagram+facebook(combined),instagram+facebook,DdXFQWRiHKw,https://www.instagram.com/p/DdXFQWRiHKw/,2026-09-17,9,2026-09-26,liberia-nom-latin-libre,text-rule,pays,Libéria : un nom donné par une société privée,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,152,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",26,,2,0,1,1,0,0,,,19.7,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R049,instagram+facebook(combined),instagram+facebook,DdXGE_bCBNZ,https://www.instagram.com/p/DdXGE_bCBNZ/,2026-09-17,9,2026-09-26,guinee-vingt-neuf-peuples,ledger-url,pays,"La Guinée, c'est vingt-neuf peuples. Et son n",carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",carrousel,yes,,,254,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",25,,7,0,2,1,0,0,,,35.4,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows"
R050,instagram+facebook(combined),instagram+facebook,DdXahyVCMU_,https://www.instagram.com/p/DdXahyVCMU_/,2026-09-17,9,2026-09-26,nigeria-flora-shaw,text-rule,pays,"Nigeria, inventé à Londres ? Proposé, pas inv",carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,304,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",44,,6,0,5,2,0,0,,,36.2,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
